demanda_dia;demanda_fecha_dia;demanda_hora;temperatura_grados_centigrados_momento_demanda;demanda_potencia_ mega_watt;;ARCHIVO MARZO - ABRIL;;;;ARCHIVO ENERO SEPTIEMBRE;;;
lunes;01/01/2018;21:45;33,2;874;lunes;01/01/2018;23:30;31,9;760;01/01/2018;23:30;31,9;760
martes;02/01/2018;22:00;35,1;945;martes;02/01/2018;21:45;33,2;874;02/01/2018;21:45;33,2;874
miercoles;03/01/2018;14:00;38,4;1010;miercoles;03/01/2018;22:00;35,1;945;03/01/2018;22:00;35,1;945
jueves;04/01/2018;13:00;30,4;882;jueves;04/01/2018;14:00;38,4;1010;04/01/2018;14:00;38,4;1010
viernes;05/01/2018;21:45;31,4;840;viernes;05/01/2018;13:00;30,4;882;05/01/2018;13:00;30,4;882
sabado;06/01/2018;23:30;35,4;868;sabado;06/01/2018;21:45;31,4;840;06/01/2018;21:45;31,4;840
domingo;07/01/2018;13:00;35,7;1021;domingo;07/01/2018;23:30;35,4;868;07/01/2018;23:30;35,4;868
lunes;08/01/2018;22:00;34,2;953;lunes;08/01/2018;13:00;35,7;1021;08/01/2018;13:00;35,7;1021
martes;09/01/2018;14:00;36,8;1035;martes;09/01/2018;22:00;34,2;953;09/01/2018;22:00;34,2;953
miercoles;10/01/2018;14:00;37,6;1064;miercoles;10/01/2018;14:00;36,8;1035;10/01/2018;14:00;36,8;1035
jueves;11/01/2018;15:00;36,4;1037;jueves;11/01/2018;14:00;37,6;1064;11/01/2018;14:00;37,6;1064
viernes;12/01/2018;1:00;24,3;832;viernes;12/01/2018;15:00;36,4;1037;12/01/2018;15:00;36,4;1037
sabado;13/01/2018;23:00;29;793;sabado;13/01/2018;1:00;24,3;832;13/01/2018;1:00;24,3;832
domingo;14/01/2018;21:30;32,6;854;domingo;14/01/2018;23:00;29;793;14/01/2018;23:00;29;793
lunes;15/01/2018;12:00;26,5;849;lunes;15/01/2018;21:30;32,6;854;15/01/2018;21:30;32,6;854
martes;16/01/2018;21:15;32;936;martes;16/01/2018;12:00;26,5;849;16/01/2018;12:00;26,5;849
miercoles;17/01/2018;22:30;32,9;934;miercoles;17/01/2018;21:15;32;936;17/01/2018;21:15;32;936
jueves;18/01/2018;13:00;35,5;902;jueves;18/01/2018;22:30;32,9;934;18/01/2018;22:30;32,9;934
viernes;19/01/2018;21:00;34,2;918;viernes;19/01/2018;13:00;35,5;902;19/01/2018;13:00;35,5;902
sabado;20/01/2018;22:15;34,3;769;sabado;20/01/2018;21:00;34,2;918;20/01/2018;21:00;34,2;918
domingo;21/01/2018;21:45;34;965;domingo;21/01/2018;22:15;34,3;769;21/01/2018;22:15;34,3;769
lunes;22/01/2018;21:45;35,8;921;lunes;22/01/2018;21:45;34;965;22/01/2018;21:45;34;965
martes;23/01/2018;22:00;29,3;963;martes;23/01/2018;21:45;35,8;921;23/01/2018;21:45;35,8;921
miercoles;24/01/2018;22:15;31,8;886;miercoles;24/01/2018;22:00;29,3;963;24/01/2018;22:00;29,3;963
jueves;25/01/2018;21:15;33,1;991;jueves;25/01/2018;22:15;31,8;886;25/01/2018;22:15;31,8;886
viernes;26/01/2018;4:00;30,4;841;viernes;26/01/2018;21:15;33,1;991;26/01/2018;21:15;33,1;991
sabado;27/01/2018;22:00;33,7;818;sabado;27/01/2018;4:00;30,4;841;27/01/2018;4:00;30,4;841
domingo;28/01/2018;13:00;34,8;956;domingo;28/01/2018;22:00;33,7;818;28/01/2018;22:00;33,7;818
lunes;29/01/2018;13:00;34,7;952;lunes;29/01/2018;13:00;34,8;956;29/01/2018;13:00;34,8;956
